Site,Plot,Longitude,Latitude
1,1,-116.0334865,43.57171417
1,2,-116.0334538,43.5718475
1,3,-116.0336144,43.57187203
1,4,-116.0335633,43.57204513
1,5,-116.0337444,43.57201227
1,6,-116.0336182,43.57220197
1,7,-116.0338427,43.5721162
1,8,-116.0339136,43.57231837
1,9,-116.0340463,43.57225393
1,1,-116.0339935,43.57246093
1,11,-116.034109,43.57250843
1,12,-116.034296,43.57244527
1,13,-116.0343076,43.57259323
2,1,-116.0027828,43.56606383
2,2,-116.0027888,43.566168
2,3,-116.0025938,43.56620833
2,4,-116.0025657,43.56633083
2,5,-116.0024157,43.56630333
2,6,-116.0023642,43.56641383
2,7,-116.002206,43.56640917
2,8,-116.0021978,43.56653067
2,9,-116.0019983,43.56650983
2,1,-116.0019758,43.56664933
2,11,-116.0018228,43.56664
2,12,-116.0017868,43.56675617
2,13,-116.0016582,43.56676233
3,1,-116.0078645,43.56642037
3,2,-116.0079895,43.56649033
3,3,-116.0078036,43.5666257
3,4,-116.0079288,43.56672633
3,6,-116.007816,43.56687833
3,5,-116.0077502,43.56674163
3,7,-116.007631,43.56692137
3,13,-116.0065365,43.56634817
3,12,-116.0064911,43.5664386
3,1,-116.0068175,43.56648923
3,9,-116.0069426,43.56641823
3,11,-116.0067183,43.56640633
3,8,-116.0070585,43.566501
4,2,-116.0160887,43.58397517
4,1,-116.01616,43.58389667
4,3,-116.0161663,43.5840515
4,4,-116.0160998,43.58414887
4,5,-116.0161947,43.58423867
4,6,-116.0160963,43.58434083
4,7,-116.0161698,43.58210717
4,8,-116.016107,43.58219703
4,9,-116.0160012,43.58223757
4,1,-116.0159659,43.5823332
4,11,-116.0158417,43.58239383
4,12,-116.0158003,43.58248267
4,13,-116.0156883,43.58252333
5,1,-116.0177093,43.58026323
5,2,-116.0175965,43.58029767
5,3,-116.0173855,43.58020483
5,4,-116.0172402,43.58026253
5,5,-116.0171928,43.580176
5,6,-116.0175258,43.57975767
5,7,-116.0174882,43.57980967
5,8,-116.0173673,43.5796544
5,9,-116.017219,43.579695
5,1,-116.0170022,43.57966383
5,11,-116.0168741,43.5795384
5,12,-116.0167086,43.57961583
5,13,-116.0166182,43.5795078
6,1,-116.0200121,43.5800705
6,2,-116.0200596,43.58016763
6,3,-116.02022,43.58016233
6,4,-116.0203103,43.58020017
6,5,-116.020428,43.58022567
6,6,-116.0204869,43.5803306
6,7,-116.0206125,43.58024517
6,8,-116.0206585,43.58042183
6,9,-116.0207895,43.580459
6,1,-116.0208281,43.58052193
6,11,-116.0205062,43.58045217
6,12,-116.020378,43.58040377
6,13,-116.0202818,43.58046283
7,1,-116.0244025,43.57800493
7,2,-116.0245001,43.57810307
7,3,-116.0246212,43.5780764
7,4,-116.0247192,43.57817917
7,5,-116.0248524,43.57818377
7,6,-116.0248414,43.57833827
7,7,-116.0244635,43.57787467
7,8,-116.024527,43.5779885
7,9,-116.0246733,43.57789713
7,1,-116.0247942,43.5780088
7,11,-116.0249605,43.57792483
7,12,-116.0249509,43.5780907
7,13,-116.0250916,43.57810613
8,1,-116.0374507,43.5864065
8,2,-116.037316,43.5864145
8,3,-116.0372553,43.58647827
8,4,-116.0371354,43.5864883
8,5,-116.037037,43.58660983
8,6,-116.036901,43.58659833
8,7,-116.0368824,43.5867041
8,8,-116.0367372,43.58673933
8,9,-116.0367053,43.586849
8,1,-116.0366416,43.58690913
8,11,-116.036648,43.58700403
8,12,-116.0367655,43.58707333
8,13,-116.0366562,43.58725847
9,1,-116.03237,43.5823418
9,2,-116.032417,43.582409
9,3,-116.0325809,43.5824045
9,4,-116.0326585,43.58251867
9,5,-116.0327557,43.58245797
9,6,-116.0329002,43.58254217
9,7,-116.0329052,43.58268487
9,8,-116.033084,43.58262783
9,9,-116.0329023,43.58276123
9,1,-116.0328199,43.58280027
9,11,-116.0327553,43.5827575
9,12,-116.0327334,43.58266043
9,13,-116.0324992,43.582663
10,1,-116.0298492,43.58086307
10,2,-116.0299133,43.58090677
10,3,-116.03003,43.58090333
10,4,-116.0301163,43.5809769
10,5,-116.0302444,43.5809617
10,6,-116.0303077,43.58104797
10,7,-116.0305411,43.58099477
10,8,-116.0305588,43.581106
10,9,-116.0306861,43.58106863
10,1,-116.0307631,43.58121523
10,11,-116.0309365,43.5811937
10,12,-116.0309496,43.58131933
10,13,-116.0310919,43.5813269
