Model,MainEffect,Mediator,apath,bpath,ATE,TIE,PDE
Invasive_Resistance,Invasive Species Richness,Invasive Functional Richness,0.19,-0.1,0.03,-0.019,0.12
Invasive_Resistance,Native Species Richness,Native Functional Richness,0.25,0.07,0.03,0.0175,0.09
Invasive_Resilience,Invasive Species Richness,Invasive Functional Richness,0.19,0.16,0.06,0.0304,-0.07
Invasive_Resilience,Native Species Richness,Native Functional Richness,0.25,0.25,-0.26,0.0625,-0.36
Invasive_Recovery,Invasive Species Richness,Invasive Functional Richness,0.19,0.16,0.09,0.0304,-0.06
Invasive_Recovery,Native Species Richness,Native Functional Richness,0.25,0.25,-0.22,0.0625,-0.35
Native_Resistance,Invasive Species Richness,Invasive Functional Richness,0.19,-0.05,0.06,-0.0095,0.14
Native_Resistance,Native Species Richness,Native Functional Richness,0.25,0.52,0.31,0.13,0
Native_Resilience,Invasive Species Richness,Invasive Functional Richness,0.19,0,-0.03,0,0.02
Native_Resilience,Native Species Richness,Native Functional Richness,0.25,0.09,-0.17,0.0225,-0.06
Native_Recovery,Invasive Species Richness,Invasive Functional Richness,0.19,-0.01,0.02,-0.0019,0.05
Native_Recovery,Native Species Richness,Native Functional Richness,0.25,0.22,0.14,0.055,-0.08
Compositional_Resistance,Invasive Species Richness,Invasive Functional Richness,0.19,-0.34,0.01,-0.0646,0.36
Compositional_Resistance,Native Species Richness,Native Functional Richness,0.25,0.03,0.08,0.0075,0.11
Compositional_Resilience,Invasive Species Richness,Invasive Functional Richness,0.19,0.01,0.02,0.0019,0.01
Compositional_Resilience,Native Species Richness,Native Functional Richness,0.25,-0.05,-0.17,-0.0125,-0.08
Compositional_Recovery,Invasive Species Richness,Invasive Functional Richness,0.19,-0.02,-0.02,-0.0038,0.04
Compositional_Recovery,Native Species Richness,Native Functional Richness,0.25,-0.06,-0.09,-0.015,-0.06
